timestamp_utc,role,pid,cpu_seconds,working_set_mb,thread_count,handle_count
2026-08-23T19:41:41.9987725Z,worker,123952,10.25,181.93,36,684
2026-08-23T19:41:47.0299014Z,api-operator-5009,124116,9.03125,162.89,37,720
2026-08-23T19:41:47.0299014Z,api-visitor-5010,93796,11.875,193.07,50,938
2026-08-23T19:41:47.0299014Z,worker,123952,10.328125,181.93,36,684
2026-08-23T19:41:52.0476209Z,api-operator-5009,124116,9.03125,162.93,38,723
2026-08-23T19:41:52.0476209Z,api-visitor-5010,93796,11.921875,194.17,51,941
2026-08-23T19:41:52.0476209Z,worker,123952,10.328125,181.96,37,687
2026-08-23T19:41:57.0726893Z,api-operator-5009,124116,9.15625,166.66,38,723
2026-08-23T19:41:57.0726893Z,api-visitor-5010,93796,12,196.82,50,943
2026-08-23T19:41:57.0726893Z,worker,123952,10.390625,181.94,36,684
2026-08-23T19:42:02.0943260Z,api-operator-5009,124116,9.203125,169.45,38,725
2026-08-23T19:42:02.0943260Z,api-visitor-5010,93796,12.0625,208.61,50,812
2026-08-23T19:42:02.0943260Z,worker,123952,10.4375,182.56,37,689
2026-08-23T19:42:07.1254971Z,api-operator-5009,124116,9.21875,169.44,37,722
2026-08-23T19:42:07.1254971Z,api-visitor-5010,93796,12.140625,208.84,48,810
2026-08-23T19:42:07.1254971Z,worker,123952,10.484375,181.12,36,686
2026-08-23T19:42:12.1512975Z,api-operator-5009,124116,9.234375,168.11,37,722
2026-08-23T19:42:12.1512975Z,api-visitor-5010,93796,12.140625,208.84,48,810
2026-08-23T19:42:12.1512975Z,worker,123952,10.484375,181.34,37,689
2026-08-23T19:42:17.1777453Z,api-operator-5009,124116,9.234375,168.14,37,723
2026-08-23T19:42:17.1777453Z,api-visitor-5010,93796,12.140625,208.82,48,810
2026-08-23T19:42:17.1777453Z,worker,123952,10.515625,181.38,37,691
2026-08-23T19:42:22.2020262Z,api-operator-5009,124116,9.234375,168.18,37,722
2026-08-23T19:42:22.2020262Z,api-visitor-5010,93796,12.15625,206.49,48,810
2026-08-23T19:42:22.2020262Z,worker,123952,10.59375,181.42,38,694
2026-08-23T19:42:27.2209182Z,api-operator-5009,124116,9.25,168.18,36,719
2026-08-23T19:42:27.2209182Z,api-visitor-5010,93796,12.15625,206.51,49,816
2026-08-23T19:42:27.2209182Z,worker,123952,10.640625,181.39,37,691
2026-08-23T19:42:32.2471104Z,api-operator-5009,124116,9.25,168.25,37,722
2026-08-23T19:42:32.2471104Z,api-visitor-5010,93796,12.28125,207.35,49,819
2026-08-23T19:42:32.2471104Z,worker,123952,10.703125,181.38,37,691
2026-08-23T19:42:37.2760355Z,api-operator-5009,124116,9.25,168.23,36,719
2026-08-23T19:42:37.2760355Z,api-visitor-5010,93796,12.296875,207.54,51,820
2026-08-23T19:42:37.2760355Z,worker,123952,10.734375,181.38,37,691
2026-08-23T19:42:42.3115314Z,api-operator-5009,124116,9.296875,177.28,37,722
2026-08-23T19:42:42.3115314Z,api-visitor-5010,93796,12.359375,207.61,52,827
2026-08-23T19:42:42.3115314Z,worker,123952,10.796875,181.43,37,692
2026-08-23T19:42:47.3303251Z,api-operator-5009,124116,9.390625,174.36,38,727
2026-08-23T19:42:47.3303251Z,api-visitor-5010,93796,12.359375,207.63,52,831
2026-08-23T19:42:47.3303251Z,worker,123952,10.828125,182.69,36,689
2026-08-23T19:42:52.3500867Z,api-operator-5009,124116,9.390625,174.3,33,717
2026-08-23T19:42:52.3500867Z,api-visitor-5010,93796,12.40625,208.25,50,828
2026-08-23T19:42:52.3500867Z,worker,123952,10.84375,184.12,37,692
2026-08-23T19:42:57.3759562Z,api-operator-5009,124116,9.40625,172.97,32,714
2026-08-23T19:42:57.3759562Z,api-visitor-5010,93796,12.40625,206.51,34,772
2026-08-23T19:42:57.3759562Z,worker,123952,10.84375,184.73,36,689
2026-08-23T19:43:02.4036441Z,api-operator-5009,124116,9.40625,173.17,33,717
2026-08-23T19:43:02.4036441Z,api-visitor-5010,93796,12.4375,206.62,36,782
2026-08-23T19:43:02.4036441Z,worker,123952,10.84375,186.75,36,689
2026-08-23T19:43:07.4214921Z,api-operator-5009,124116,9.40625,173.18,32,713
2026-08-23T19:43:07.4214921Z,api-visitor-5010,93796,12.4375,206.62,36,785
2026-08-23T19:43:07.4214921Z,worker,123952,10.859375,188.84,36,689
2026-08-23T19:43:12.4521324Z,api-operator-5009,124116,9.4375,173.17,31,710
2026-08-23T19:43:12.4521324Z,api-visitor-5010,93796,12.4375,207.94,36,785
2026-08-23T19:43:12.4521324Z,worker,123952,10.921875,190.91,38,697
2026-08-23T19:43:17.4810255Z,api-operator-5009,124116,9.453125,173.21,32,713
2026-08-23T19:43:17.4810255Z,api-visitor-5010,93796,12.4375,206.62,36,788
2026-08-23T19:43:17.4810255Z,worker,123952,10.921875,190.86,37,691
2026-08-23T19:43:22.5130077Z,api-operator-5009,124116,9.453125,173.23,31,710
2026-08-23T19:43:22.5130077Z,api-visitor-5010,93796,12.4375,206.5,33,779
2026-08-23T19:43:22.5130077Z,worker,123952,10.921875,190.81,34,686
2026-08-23T19:43:27.5325151Z,api-operator-5009,124116,9.515625,177.03,32,713
2026-08-23T19:43:27.5325151Z,api-visitor-5010,93796,12.546875,207.79,35,791
2026-08-23T19:43:27.5325151Z,worker,123952,11,190.85,34,686
2026-08-23T19:43:32.5516565Z,api-operator-5009,124116,9.5625,179.11,33,721
2026-08-23T19:43:32.5516565Z,api-visitor-5010,93796,12.703125,207.77,34,792
2026-08-23T19:43:32.5516565Z,worker,123952,11,190.96,34,686
2026-08-23T19:43:37.5720092Z,api-operator-5009,124116,9.5625,179.08,32,715
2026-08-23T19:43:37.5720092Z,api-visitor-5010,93796,12.703125,207.77,34,795
2026-08-23T19:43:37.5720092Z,worker,123952,11,190.94,33,683
2026-08-23T19:43:42.5901785Z,api-operator-5009,124116,9.5625,177.86,33,718
2026-08-23T19:43:42.5901785Z,api-visitor-5010,93796,12.75,207.77,34,795
2026-08-23T19:43:42.5901785Z,worker,123952,11.09375,190.9,32,681
2026-08-23T19:43:47.6168548Z,api-operator-5009,124116,9.5625,177.84,32,715
2026-08-23T19:43:47.6168548Z,api-visitor-5010,93796,12.828125,207.81,35,801
2026-08-23T19:43:47.6168548Z,worker,123952,11.09375,190.9,32,681
2026-08-23T19:43:52.6444753Z,api-operator-5009,124116,9.5625,177.68,31,711
2026-08-23T19:43:52.6444753Z,api-visitor-5010,93796,12.84375,207.78,34,801
2026-08-23T19:43:52.6444753Z,worker,123952,11.203125,191.27,40,709
2026-08-23T19:43:57.6729112Z,api-operator-5009,124116,9.5625,177.66,31,711
2026-08-23T19:43:57.6729112Z,api-visitor-5010,93796,12.84375,207.74,35,807
2026-08-23T19:43:57.6729112Z,worker,123952,11.234375,191.27,40,709
2026-08-23T19:44:02.7032678Z,api-operator-5009,124116,9.578125,177.69,32,714
2026-08-23T19:44:02.7032678Z,api-visitor-5010,93796,13.046875,207.72,34,804
2026-08-23T19:44:02.7032678Z,worker,123952,11.296875,191.22,39,706
2026-08-23T19:44:07.7224742Z,api-operator-5009,124116,9.625,177.66,31,711
